time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-04T15:21:46.181Z,18.7807,-69.2869,88.77,3.2,ml,,132,0.514,0.6,us,us6000b9be,2020-08-04T23:24:14.290Z,"3 km WNW of Hato Mayor del Rey, Dominican Republic",earthquake,5.1,10.8,0.062,34,reviewed,us,us
2020-08-04T15:08:18.000Z,33.901,35.519,0,3.3,ml,,,,0.99,us,us6000b9bx,2020-08-05T06:02:15.843Z,"1 km ENE of Beirut, Lebanon",explosion,6.8,7.6,0.137,8,reviewed,us,us
2020-08-04T14:52:15.121Z,83.441,115.3873,10,4.6,mb,,138,14.207,0.83,us,us6000b96f,2020-08-04T15:45:16.040Z,"north of Severnaya Zemlya",earthquake,8.5,1.9,0.052,109,reviewed,us,us
2020-08-04T14:49:10.183Z,66.3708,-157.5201,11.9,2.8,ml,,,,0.8,ak,ak0209z48wif,2020-08-04T16:31:02.040Z,"60 km SSW of Shungnak, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-08-04T14:26:34.151Z,54.1298,169.0331,10,4.2,mb,,151,3.339,0.57,us,us6000b967,2020-08-04T17:04:04.040Z,"Komandorskiye Ostrova, Russia region",earthquake,12.1,1.9,0.066,65,reviewed,us,us
2020-08-04T14:01:43.415Z,69.5379,-144.3864,10,3.4,ml,,,,0.65,ak,ak0209z3yos8,2020-08-04T18:46:08.739Z,"72 km SSW of Kaktovik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-08-04T13:57:47.507Z,-16.597,-71.5362,120.49,4.3,mb,,272,2.1,0.2,us,us6000b95w,2020-08-04T14:16:38.040Z,"21 km S of Arequipa, Peru",earthquake,13.3,22.5,0.375,2,reviewed,us,us
2020-08-04T13:10:19.917Z,38.2706,38.8458,10,4,mb,,116,0.913,0.97,us,us6000b95q,2020-08-04T20:07:03.737Z,"16 km WSW of Doğanyol, Turkey",earthquake,3.4,2,0.368,2,reviewed,us,us
2020-08-04T12:48:48.543Z,63.5998,-149.9557,140.1,2.8,ml,,,,0.29,ak,ak0209z31wis,2020-08-04T13:23:08.474Z,"53 km WSW of McKinley Park, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-08-04T12:47:19.447Z,54.7625,-161.1936,43.94,5.2,mww,,85,0.547,0.86,us,us6000b95f,2020-08-04T17:48:21.040Z,"77 km SW of Sand Point, Alaska",earthquake,4.5,5.8,0.035,77,reviewed,us,us
2020-08-04T12:42:15.849Z,60.1427,-141.5819,9.8,2.5,ml,,,,1.06,ak,ak0209z30jnm,2020-08-04T13:03:33.539Z,"123 km WNW of Yakutat, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-08-04T11:54:39.770Z,35.6405,-118.191,7.46,2.53,ml,32,45,0.06915,0.15,ci,ci39329719,2020-08-04T20:36:07.199Z,"25km ESE of Kernville, CA",earthquake,0.23,0.75,0.157,26,automatic,ci,ci
2020-08-04T11:48:30.962Z,-25.9745,-179.9413,530.35,4.4,mb,,118,3.715,0.61,us,us6000b956,2020-08-04T14:05:57.040Z,"south of the Fiji Islands",earthquake,17.3,12.3,0.18,9,reviewed,us,us
2020-08-04T11:44:05.152Z,-5.4843,22.6048,10,4.8,mb,,72,9.457,0.75,us,us6000b94p,2020-08-04T12:05:48.040Z,"37 km E of Demba, Democratic Republic of the Congo",earthquake,10,1.9,0.102,30,reviewed,us,us
2020-08-04T11:21:37.649Z,34.4361,140.2874,78.76,4.9,mb,,116,1.375,0.76,us,us6000b94h,2020-08-04T22:35:56.342Z,"71 km SSE of Tateyama, Japan",earthquake,7.3,6.7,0.058,94,reviewed,us,us
2020-08-04T09:37:37.074Z,38.1879,38.7129,10,5.6,mww,,30,0.95,0.89,us,us6000b930,2020-08-04T17:21:28.109Z,"18 km NNE of Sincik, Turkey",earthquake,4.1,1.8,0.046,45,reviewed,us,us
2020-08-04T09:13:26.198Z,62.4023,-149.517,49.9,3.8,ml,,,,0.45,ak,ak0209z121w6,2020-08-04T22:17:56.887Z,"30 km E of Chase, Alaska",earthquake,,0.3,,,reviewed,ak,ak
