time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-02T10:11:01.260Z,17.8451,-66.8568,11,2.79,md,22,224,0.1319,0.11,pr,pr2020215002,2020-08-03T21:25:47.259Z,"15 km SSE of Guánica, Puerto Rico",earthquake,0.34,0.39,0.42,12,reviewed,pr,pr
2020-08-02T09:57:27.273Z,-5.5814,151.9461,57.96,4.7,mb,,100,1.397,0.61,us,us6000b8bg,2020-08-02T10:14:23.040Z,"141 km SSW of Kokopo, Papua New Guinea",earthquake,8.8,6.7,0.079,49,reviewed,us,us
2020-08-02T09:29:56.613Z,-3.0039,148.99,10,5.8,mww,,60,1.882,0.82,us,us6000b8b6,2020-08-04T20:43:27.040Z,"206 km WSW of Kavieng, Papua New Guinea",earthquake,7,1.9,0.089,12,reviewed,us,us
2020-08-02T09:27:15.659Z,63.3424,-155.3129,5,3.6,ml,,,,0.7,ak,ak0209vq2cuz,2020-08-04T05:13:09.101Z,"45 km NNE of McGrath, Alaska",earthquake,,0,,,reviewed,ak,ak
2020-08-02T08:46:49.311Z,-30.5199,-72.0114,10,4.1,mwr,,168,1.103,0.77,us,us6000b8aw,2020-08-02T09:22:21.040Z,"78 km W of Ovalle, Chile",earthquake,5.7,1.9,0.038,66,reviewed,us,us
2020-08-02T08:46:47.047Z,63.3518,-155.3185,2.5,3.5,ml,,,,0.88,ak,ak0209vpl1kj,2020-08-04T05:12:41.139Z,"46 km NNE of McGrath, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-08-02T07:44:52.370Z,54.6769,-161.0802,34.28,3,ml,,178,0.758,0.48,us,us6000b8af,2020-08-02T08:32:48.040Z,"82 km SSW of Sand Point, Alaska",earthquake,8,14.1,0.071,26,reviewed,us,us
2020-08-02T06:22:37.596Z,-34.8606,-109.45,10,4.7,mb,,155,31.425,0.44,us,us6000b8a9,2020-08-02T07:36:14.040Z,"southern East Pacific Rise",earthquake,10.5,1.8,0.05,120,reviewed,us,us
2020-08-02T06:07:31.892Z,18.7969,-46.1758,10,4.6,mb,,137,14.414,0.8,us,us6000b8ab,2020-08-02T07:04:03.040Z,"northern Mid-Atlantic Ridge",earthquake,6.1,1.9,0.051,113,reviewed,us,us
2020-08-02T06:01:36.751Z,-21.3299,-68.7038,133.79,4.4,mb,,57,0.682,0.45,us,us6000b8a3,2020-08-02T06:28:17.040Z,"126 km N of Calama, Chile",earthquake,5.9,6.1,0.19,8,reviewed,us,us
2020-08-02T04:35:03.464Z,-4.5979,102.6872,57.12,4.9,mb,,104,0.356,0.68,us,us6000b89d,2020-08-02T04:53:24.040Z,"88 km SW of Pagar Alam, Indonesia",earthquake,8.2,3.1,0.083,46,reviewed,us,us
2020-08-02T03:01:33.833Z,-20.8053,173.4588,10,5.7,mww,,116,5.111,1.18,us,us6000b88w,2020-08-04T20:48:50.040Z,"Vanuatu region",earthquake,5.4,1.8,0.052,36,reviewed,us,us
2020-08-02T02:31:40.684Z,62.9887,-151.2649,123.9,3,ml,,,,0.52,ak,ak0209vlx7nq,2020-08-04T05:12:29.136Z,"60 km NNW of Petersville, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-02T02:28:22.332Z,-24.6628,-67.8175,117.57,4.4,mb,,43,1.734,0.76,us,us6000b88g,2020-08-02T02:48:21.040Z,"159 km WSW of San Antonio de los Cobres, Argentina",earthquake,6.8,4.4,0.062,74,reviewed,us,us
2020-08-02T00:03:46.440Z,10.7665,-62.5503,91.73,5,mww,,28,1.617,0.85,us,us6000b885,2020-08-02T11:35:30.188Z,"34 km NW of Güiria, Venezuela",earthquake,8.1,6.1,0.078,16,reviewed,us,us
2020-08-01T23:47:48.735Z,39.7913,77.2859,10,4.6,mb,,108,1.912,1.21,us,us6000b883,2020-08-02T00:04:43.040Z,"116 km ENE of Kashgar, China",earthquake,7.6,1.9,0.074,55,reviewed,us,us
2020-08-01T23:28:10.103Z,55.1732,-159.6383,39.74,3,ml,,118,0.344,0.52,us,us6000b880,2020-08-01T23:43:35.040Z,"57 km ESE of Sand Point, Alaska",earthquake,3.9,12.4,0.062,34,reviewed,us,us
2020-08-01T22:48:37.969Z,61.0834,-152.2871,109.6,2.7,ml,,,,0.43,ak,ak0209uae6bp,2020-08-04T05:12:18.827Z,"62 km W of Tyonek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-01T22:36:32.577Z,19.1828,146.1014,85.52,4.4,mb,,104,3.931,0.7,us,us6000b87n,2020-08-02T01:02:12.040Z,"Mariana Islands region",earthquake,6.4,9.3,0.09,36,reviewed,us,us
2020-08-01T21:05:12.785Z,54.9673,-159.1436,25.47,3.5,mb,,189,0.291,0.5,us,us6000b863,2020-08-01T21:26:59.040Z,"95 km ESE of Sand Point, Alaska",earthquake,7.1,10.2,0.187,7,reviewed,us,us
2020-08-01T21:00:59.493Z,-4.3329,142.5858,101.42,4.2,mb,,74,5.287,0.69,us,us6000b86x,2020-08-02T01:10:15.040Z,"28 km WSW of Ambunti, Papua New Guinea",earthquake,6.1,8.9,0.118,20,reviewed,us,us
2020-08-01T20:53:52.108Z,31.9279,-102.3046,11.72,2.8,mb_lg,,35,0.282,0.71,us,us6000b85p,2020-08-02T18:32:01.525Z,"10 km NNE of Odessa, Texas",earthquake,2.5,6.4,0.082,68,reviewed,us,us
2020-08-01T20:07:58.960Z,17.9115,-66.6841,31,3.52,md,23,196,0.1526,0.18,pr,pr2020214002,2020-08-02T20:09:35.299Z,"9 km SSE of Tallaboa, Puerto Rico",earthquake,0.7,0.58,0.21,23,reviewed,pr,pr
2020-08-01T20:03:07.560Z,19.2398333333333,-155.413,31.71,4.21,ml,63,110,,0.12,hv,hv72070977,2020-08-04T01:40:07.329Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.47,0.59,0.168361878191039,40,reviewed,hv,hv
2020-08-01T19:45:45.901Z,-23.0645,-175.8175,10,5.6,mww,,125,6.781,1.06,us,us6000b84u,2020-08-02T19:47:25.279Z,"211 km SSW of ‘Ohonua, Tonga",earthquake,10.7,1.9,0.089,12,reviewed,us,us
2020-08-01T19:32:30.170Z,38.048,-118.74,5.7,3.33,ml,50,74,0.2749,0.07,nc,nc73437016,2020-08-04T00:02:02.419Z,"30km SE of Bodie, CA",earthquake,0.21,2.16,0.19,55,reviewed,nc,nc
2020-08-01T19:22:07.226Z,-3.2664,148.5662,10,6,mww,,22,1.706,1.39,us,us6000b84f,2020-08-03T19:31:44.468Z,"198 km SE of Lorengau, Papua New Guinea",earthquake,7,1.7,0.046,46,reviewed,us,us
2020-08-01T19:18:12.401Z,-3.1299,148.8897,10,4.6,mb,,83,1.865,0.64,us,us6000b84e,2020-08-01T22:46:59.040Z,"216 km SE of Lorengau, Papua New Guinea",earthquake,3.9,1.9,0.1,30,reviewed,us,us
2020-08-01T19:08:50.701Z,-3.1904,148.7043,10,5.7,mww,,39,1.756,1.26,us,us6000b849,2020-08-03T17:27:48.040Z,"204 km SE of Lorengau, Papua New Guinea",earthquake,7,1.8,0.055,32,reviewed,us,us
2020-08-01T18:27:07.980Z,38.0456667,-118.7325,4.5,2.5,md,31,91,0.2727,0.07,nc,nc73436996,2020-08-04T18:47:38.040Z,"31km SE of Bodie, CA",earthquake,0.32,7.02,0.214,30,reviewed,nc,nc
2020-08-01T18:19:05.357Z,51.1236,-177.9908,38.76,2.6,ml,,216,0.635,0.53,us,us6000b88f,2020-08-04T14:44:26.040Z,"125 km SW of Adak, Alaska",earthquake,5.8,46.3,0.115,10,reviewed,us,us
2020-08-01T18:05:37.772Z,-48.516,106.8118,10,4.8,mb,,84,17.919,0.82,us,us6000b82z,2020-08-01T18:31:24.040Z,"southeast Indian Ridge",earthquake,11.1,1.9,0.096,35,reviewed,us,us
2020-08-01T17:13:44.053Z,44.5085,-115.228,18.31,2.7,ml,,54,0.423,1.18,us,us6000b80s,2020-08-02T14:51:12.950Z,"39 km NW of Stanley, Idaho",earthquake,2,9.6,0.039,88,reviewed,us,us
2020-08-01T17:09:01.608Z,7.2781,124.1199,480.6,6.4,mww,,13,1.462,1.04,us,us6000b80p,2020-08-04T14:32:09.757Z,"11 km SE of Litayan, Philippines",earthquake,8.4,2.7,0.027,129,reviewed,us,us
2020-08-01T16:37:58.522Z,31.9338,-102.3113,5,2.8,mb_lg,,69,0.274,0.34,us,us6000b80c,2020-08-02T20:35:05.223Z,"western Texas",earthquake,1.2,1.7,0.048,115,reviewed,us,us
2020-08-01T15:01:33.065Z,1.8199,127.4244,99.52,4.4,mb,,105,1.042,1.01,us,us6000b804,2020-08-01T16:04:09.040Z,"65 km W of Tobelo, Indonesia",earthquake,11.1,10.2,0.105,26,reviewed,us,us
2020-08-01T14:53:24.985Z,54.8691,-160.2882,27.33,3.2,ml,,162,0.405,0.78,us,us6000b800,2020-08-04T05:11:42.858Z,"53 km SSE of Sand Point, Alaska",earthquake,6.5,12.7,0.077,22,reviewed,us,us
2020-08-01T13:26:15.550Z,17.8726,-66.8538,7,3.33,md,22,217,0.2136,0.15,pr,pr2020214001,2020-08-01T21:29:02.582Z,"12 km SSE of Maria Antonia, Puerto Rico",earthquake,0.56,0.49,0.18,21,reviewed,pr,pr
2020-08-01T12:14:58.232Z,-9.3346,156.1642,10,4.9,mb,,45,3.734,0.99,us,us6000b7yn,2020-08-01T12:33:27.040Z,"155 km SSW of Gizo, Solomon Islands",earthquake,6.6,1.9,0.049,129,reviewed,us,us
2020-08-01T11:36:21.320Z,38.0511667,-118.7361667,5.4,2.78,md,39,74,0.2705,0.06,nc,nc73436876,2020-08-04T03:37:03.479Z,"30km SE of Bodie, CA",earthquake,0.27,3.15,0.245,43,reviewed,nc,nc
2020-08-01T11:21:47.230Z,17.8868,-66.8426,14,2.82,md,21,211,0.2179,0.2,pr,pr2020214003,2020-08-03T21:29:21.580Z,"11 km SSE of Maria Antonia, Puerto Rico",earthquake,0.56,0.63,0.32,16,reviewed,pr,pr
2020-08-01T10:09:48.218Z,17.6272,-105.9888,10,4.4,mb,,241,4.941,0.78,us,us6000b7xd,2020-08-01T10:38:53.040Z,"222 km SSW of Emiliano Zapata, Mexico",earthquake,12.3,2,0.033,263,reviewed,us,us
2020-08-01T09:54:07.074Z,58.4333,-138.1427,0,2.7,ml,,,,0.93,ak,ak0209u2orc3,2020-08-04T05:11:17.904Z,"108 km WNW of Elfin Cove, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-08-01T09:42:56.364Z,44.3674,-115.1823,15.87,2.8,ml,,71,0.313,0.42,us,us6000b7x3,2020-08-02T05:07:34.411Z,"25 km NW of Stanley, Idaho",earthquake,2.3,9.1,0.051,50,reviewed,us,us
2020-08-01T09:27:50.786Z,44.3636,-115.1898,13.84,2.6,ml,,71,0.307,0.59,us,us6000b7wx,2020-08-02T15:13:10.800Z,"25 km NW of Stanley, Idaho",earthquake,2.7,10.2,0.056,42,reviewed,us,us
2020-08-01T09:17:17.611Z,-22.965,-13.4987,10,5.5,mww,,61,14.97,0.75,us,us6000b7wu,2020-08-03T17:25:01.040Z,"southern Mid-Atlantic Ridge",earthquake,10.4,1,0.075,17,reviewed,us,us
2020-08-01T08:44:50.656Z,-20.6892,-178.4019,573.75,4.9,mb,,101,4.449,0.68,us,us6000b7wg,2020-08-01T09:01:50.040Z,"Fiji region",earthquake,11.4,7.2,0.08,50,reviewed,us,us
2020-08-01T08:37:22.495Z,-15.1479,-173.1507,10,4.6,mb,,72,1.809,0.62,us,us6000b7wf,2020-08-01T09:05:18.040Z,"112 km NE of Hihifo, Tonga",earthquake,7.1,1.7,0.114,23,reviewed,us,us
2020-08-01T08:25:26.779Z,-16.344,-72.6078,79.67,5.1,mww,,139,2.957,0.78,us,us6000b7w3,2020-08-01T20:45:47.695Z,"32 km NNE of Camaná, Peru",earthquake,8,3.3,0.056,31,reviewed,us,us
2020-08-01T08:05:50.204Z,36.9691,-33.0476,10,4.6,mb,,116,6.044,0.61,us,us6000b7w9,2020-08-01T08:49:09.040Z,"Azores Islands region",earthquake,13,1.9,0.089,38,reviewed,us,us
2020-08-01T07:56:36.325Z,-0.0798,122.9192,149.92,4.5,mb,,55,0.966,0.7,us,us6000b7vu,2020-08-01T08:12:21.040Z,"70 km SSW of Gorontalo, Indonesia",earthquake,7.4,6.3,0.111,24,reviewed,us,us
2020-08-01T07:00:12.671Z,54.6723,-160.3101,44.99,4.9,mb,,154,0.447,0.96,us,us6000b7ve,2020-08-04T05:11:10.249Z,"74 km S of Sand Point, Alaska",earthquake,7.4,7.1,0.067,71,reviewed,us,us
2020-08-01T06:47:37.779Z,34.3227,25.8278,10,4.3,mb,,135,1.234,0.61,us,us6000b7v7,2020-08-01T07:17:16.040Z,"Crete, Greece",earthquake,7.3,1.9,0.093,33,reviewed,us,us
2020-08-01T06:31:40.439Z,35.3577,69.595,10,4.5,mb,,94,0.932,0.89,us,us6000b7v0,2020-08-01T14:18:58.809Z,"8 km NE of Bāzārak, Afghanistan",earthquake,7.4,1.9,0.131,17,reviewed,us,us
2020-08-01T05:04:52.214Z,54.3197,-160.9373,4.62,3.2,ml,,208,0.937,0.67,us,us6000b7ua,2020-08-01T05:28:16.040Z,"116 km SSW of Sand Point, Alaska",earthquake,7.4,11.5,0.077,22,reviewed,us,us
2020-08-01T04:55:48.644Z,37.5257,-117.4443,0,2.7,ml,10,138.5,0.269,0.0975,nn,nn00765475,2020-08-05T03:02:36.040Z,"27 km SW of Goldfield, Nevada",earthquake,,0,0.93,4,reviewed,nn,nn
2020-08-01T04:07:12.858Z,30.9446,-103.2094,13.38,2.5,ml,,58,0.102,0.42,us,us6000b7te,2020-08-01T04:25:01.040Z,"32 km W of Fort Stockton, Texas",earthquake,2.3,7.7,0.062,66,reviewed,us,us
2020-08-01T03:43:38.857Z,34.1682,25.802,10,4.1,mb,,64,1.346,0.89,us,us6000b7t6,2020-08-01T06:42:54.775Z,"93 km S of Ierápetra, Greece",earthquake,5.6,1.8,0.092,32,reviewed,us,us
2020-08-01T03:25:41.512Z,61.1306,-149.3169,17.2,2.5,ml,,,,0.71,ak,ak0209tyy0mk,2020-08-04T05:11:06.715Z,"22 km SE of Elmendorf Air Force Base, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-01T03:15:07.369Z,33.7576,135.4168,36.36,4.3,mb,,83,1.283,0.32,us,us6000b7ss,2020-08-01T03:45:57.739Z,"5 km ENE of Tanabe, Japan",earthquake,6.5,2.1,0.138,15,reviewed,us,us
2020-08-01T03:06:14.209Z,-20.3444,-178.2359,579.73,4.4,mb,,101,4.359,0.82,us,us6000b7sr,2020-08-01T03:23:05.040Z,"Fiji region",earthquake,12.1,6.7,0.035,243,reviewed,us,us
2020-08-01T02:39:40.138Z,54.9484,-159.7558,23.83,4.2,mb,,116,0.151,1.28,us,us6000b7sc,2020-08-04T05:10:58.721Z,"64 km SE of Sand Point, Alaska",earthquake,6.3,8.7,0.121,19,reviewed,us,us
2020-08-01T02:37:02.412Z,-31.412,-68.5326,122.29,4,mb,,165,0.185,1.05,us,us6000b7sb,2020-08-01T05:40:35.040Z,"2 km NNW of Albardón, Argentina",earthquake,3.8,13.5,0.3,3,reviewed,us,us
2020-08-01T02:24:50.918Z,27.9267,57.6201,10,4.4,mb,,150,3.229,0.72,us,us6000b7s9,2020-08-01T02:39:04.040Z,"102 km NNE of Mīnāb, Iran",earthquake,5.8,1.8,0.079,47,reviewed,us,us
2020-08-01T01:17:35.494Z,54.5664,-160.9012,10.81,3.3,ml,,190,0.806,0.54,us,us6000b7rt,2020-08-01T01:25:45.040Z,"89 km SSW of Sand Point, Alaska",earthquake,4.9,11.4,0.066,30,reviewed,us,us
2020-08-01T00:11:03.960Z,37.0664,71.3187,117.41,4.2,mb,,172,0.536,0.95,us,us6000b7rd,2020-08-01T00:33:12.040Z,"46 km NW of Ishqoshim, Tajikistan",earthquake,6.4,10.5,0.215,6,reviewed,us,us
2020-08-01T00:02:56.530Z,31.5615,-114.442,5.96,2.9,ml,10,173,0.7475,0.23,ci,ci39325887,2020-08-03T20:43:43.040Z,"88km SE of Estacion Coahuila, B.C., MX",earthquake,0.72,31.61,0.177,22,reviewed,ci,ci
2020-07-31T23:34:09.210Z,-7.4882,127.5713,145.66,4.2,mb,,72,3.726,1.15,us,us6000b7qw,2020-08-03T21:35:52.040Z,"130 km NNE of Lospalos, Timor Leste",earthquake,4.9,10.1,0.159,11,reviewed,us,us
2020-07-31T21:32:53.111Z,55.0675,-158.2999,22.1,3.3,ml,,,,0.72,ak,ak0209sm602c,2020-08-04T05:10:46.479Z,"108 km SSE of Perryville, Alaska",earthquake,,1,,,reviewed,ak,ak
2020-07-31T21:19:48.383Z,54.3742,-161.0262,25.52,4.2,mwr,,199,0.915,0.76,us,us6000b7ny,2020-08-04T05:10:38.997Z,"112 km SSW of Sand Point, Alaska",earthquake,3.2,6.2,0.052,35,reviewed,us,us
2020-07-31T20:37:44.199Z,-10.8022,151.0213,10,4.2,mb,,169,4.048,1.33,us,us6000b7ng,2020-08-01T14:04:51.040Z,"44 km ESE of Samarai, Papua New Guinea",earthquake,10.2,2,0.166,11,reviewed,us,us
2020-07-31T20:36:06.820Z,-20.2468,-70.2832,31.31,3.1,ml,,176,0.331,0.78,us,us6000b7tr,2020-08-02T22:49:52.875Z,"14 km WSW of Iquique, Chile",earthquake,1.6,10,0.064,32,reviewed,us,us
2020-07-31T20:20:19.343Z,-7.4156,128.3176,155.28,4.2,mb,,60,3.007,0.7,us,us6000b7nq,2020-08-01T13:33:20.040Z,"190 km NE of Lospalos, Timor Leste",earthquake,5.2,8.8,0.128,20,reviewed,us,us
2020-07-31T19:51:39.699Z,51.3657,-168.5963,10,4.3,mb,,138,1.665,0.87,us,us6000b7lu,2020-08-01T14:39:51.040Z,"175 km S of Nikolski, Alaska",earthquake,7,1.9,0.041,176,reviewed,us,us
2020-07-31T19:47:58.301Z,51.3757,-168.6208,10,3.9,mb,,184,1.649,0.97,us,us6000b7ls,2020-08-01T14:11:43.040Z,"174 km S of Nikolski, Alaska",earthquake,5.5,2,0.056,88,reviewed,us,us
2020-07-31T19:10:03.648Z,51.2874,-168.6128,10,3.9,mb,,183,1.73,0.98,us,us6000b7kr,2020-07-31T20:49:50.040Z,"184 km S of Nikolski, Alaska",earthquake,7.6,2,0.062,72,reviewed,us,us
2020-07-31T18:58:51.902Z,30.3312,94.7936,36.21,4.3,mb,,85,3.241,0.61,us,us6000b7kk,2020-07-31T20:39:03.040Z,"239 km N of Along, India",earthquake,9.7,8.8,0.09,40,reviewed,us,us
2020-07-31T18:43:52.668Z,51.3237,-168.6001,10,4,mb,,186,1.701,1.05,us,us6000b7k3,2020-08-04T05:10:32.143Z,"180 km S of Nikolski, Alaska",earthquake,7.4,2,0.052,100,reviewed,us,us
2020-07-31T18:03:54.548Z,62.0111,-149.2586,42.47,2.9,ml,,27,0.483,0.51,us,us6000b7jl,2020-07-31T20:12:52.040Z,"Central Alaska",earthquake,2.3,13.2,0.027,176,reviewed,us,us
2020-07-31T17:55:55.876Z,41.2167,140.1164,150.77,4.5,mb,,51,0.835,0.97,us,us6000b7j9,2020-07-31T18:56:49.040Z,"49 km NNW of Shimokizukuri, Japan",earthquake,5.4,5.9,0.041,188,reviewed,us,us
2020-07-31T17:06:00.690Z,-7.5024,156.8062,404.48,5.2,mww,,25,3.654,0.76,us,us6000b7ib,2020-08-01T14:57:16.040Z,"66 km N of Gizo, Solomon Islands",earthquake,7.7,4.8,0.093,11,reviewed,us,us
2020-07-31T17:04:25.642Z,26.4717,130.0924,10.53,4.7,mww,,53,1.206,1.21,us,us6000b7ia,2020-08-01T15:05:58.040Z,"210 km E of Nago, Japan",earthquake,4.9,3.9,0.098,10,reviewed,us,us
2020-07-31T16:45:10.396Z,30.4508,94.7761,10,5,mb,,158,5.507,0.75,us,us6000b7i6,2020-07-31T17:03:13.040Z,"242 km WSW of Qamdo, China",earthquake,12.3,1.9,0.073,60,reviewed,us,us
2020-07-31T16:17:15.348Z,-8.794,152.9219,10,4.7,mb,,147,4.634,0.88,us,us6000b7hq,2020-07-31T16:30:12.040Z,"D'Entrecasteaux Islands region",earthquake,10.9,2,0.137,16,reviewed,us,us
2020-07-31T16:04:20.216Z,-5.5808,151.9207,64.17,5.3,mb,,94,1.401,0.6,us,us6000b7hg,2020-07-31T16:20:28.040Z,"142 km SSW of Kokopo, Papua New Guinea",earthquake,8.1,8.9,0.106,30,reviewed,us,us
2020-07-31T15:45:09.329Z,59.3431,-152.0069,35,3,ml,,,,0.63,ak,ak0209sio34y,2020-08-04T05:10:31.748Z,"5 km WSW of Nanwalek, Alaska",earthquake,,3.6,,,automatic,ak,ak
2020-07-31T13:57:35.119Z,42.9771,137.7213,269.24,4.1,mb,,48,3.317,0.73,us,us6000b7f4,2020-08-03T05:06:11.040Z,"214 km SE of Kamenka, Russia",earthquake,8.7,8.4,0.089,35,reviewed,us,us
2020-07-31T11:20:10.299Z,33.0762,86.7484,10,4.7,mb,,101,8.708,0.74,us,us6000b7e2,2020-07-31T11:56:21.040Z,"western Xizang",earthquake,9.6,1.9,0.045,148,reviewed,us,us
2020-07-31T10:48:18.279Z,-17.8596,-178.6882,528.53,4.5,mb,,75,3.106,1.06,us,us6000b7dt,2020-07-31T11:38:08.040Z,"212 km E of Levuka, Fiji",earthquake,8.9,6.3,0.028,368,reviewed,us,us
2020-07-31T10:47:38.215Z,61.1938,-151.1577,58.8,2.8,ml,,,,0.6,ak,ak0209sfpetc,2020-08-04T05:10:27.289Z,"7 km NW of Beluga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-31T10:39:45.304Z,65.8241,-150.8944,4.8,2.5,ml,,,,0.65,ak,ak0209sfnpo3,2020-08-04T05:10:26.973Z,"48 km NW of Rampart, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-31T10:03:34.829Z,-14.1925,-72.9372,61.22,5,mww,,121,4.39,0.8,us,us6000b7d2,2020-08-01T15:50:46.471Z,"62 km S of Abancay, Peru",earthquake,8.1,8,0.083,14,reviewed,us,us
2020-07-31T10:02:16.805Z,-8.7205,152.7195,10,5.6,mww,,39,4.533,0.62,us,us6000b7d1,2020-08-03T17:21:59.040Z,"D'Entrecasteaux Islands region",earthquake,7.1,1.9,0.086,13,reviewed,us,us
2020-07-31T09:23:33.090Z,17.9391,-66.8863,9,3.15,md,23,195,0.0367,0.19,pr,pr2020213000,2020-07-31T17:26:02.357Z,"4 km SSE of Guánica, Puerto Rico",earthquake,0.39,0.4,0.25,20,reviewed,pr,pr
2020-07-31T09:12:33.935Z,38.1751,-117.8108,11,3.4,ml,21,49.9,0.05,0.1728,nn,nn00764600,2020-08-01T02:22:06.521Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.36,17,reviewed,nn,nn
2020-07-31T08:37:46.318Z,30.6672,141.7016,10,4.7,mb,,125,2.921,0.78,us,us6000b7cb,2020-07-31T08:54:27.040Z,"Izu Islands, Japan region",earthquake,8.8,1.9,0.1,30,reviewed,us,us
2020-07-31T07:45:29.338Z,51.3462,-168.6006,10,4.1,mb,,178,1.681,1.02,us,us6000b7bt,2020-08-04T05:10:18.136Z,"178 km S of Nikolski, Alaska",earthquake,5.7,2,0.099,28,reviewed,us,us
2020-07-31T06:06:43.700Z,8.5493,126.6298,46.19,5.6,mww,,27,1.801,1.01,us,us6000b7ai,2020-08-03T17:14:16.040Z,"37 km ENE of Hinatuan, Philippines",earthquake,6.3,4.8,0.069,20,reviewed,us,us
2020-07-31T05:16:29.515Z,30.6332,141.9444,10,4.9,mww,,117,3.067,0.75,us,us6000b7a6,2020-07-31T05:35:03.040Z,"Izu Islands, Japan region",earthquake,8,1.9,0.098,10,reviewed,us,us
2020-07-31T04:09:53.407Z,18.3991,145.2173,445.2,4.1,mb,,117,3.188,0.86,us,us6000b79u,2020-07-31T05:05:04.040Z,"Pagan region, Northern Mariana Islands",earthquake,15.6,11.2,0.081,42,reviewed,us,us
2020-07-31T02:11:45.976Z,26.8713,129.4575,10,4.8,mb,,124,1.059,0.9,us,us6000b795,2020-07-31T17:09:54.864Z,"149 km E of Nago, Japan",earthquake,3.9,1.9,0.065,74,reviewed,us,us
2020-07-31T01:19:23.586Z,15.6657,-95.9323,10,4,mb,,230,3.152,0.86,us,us6000b78x,2020-07-31T01:48:37.040Z,"24 km ESE of Crucecita, Mexico",earthquake,11.3,2,0.102,26,reviewed,us,us
2020-07-31T00:51:12.292Z,66.3468,-157.5214,0,2.5,ml,,,,0.91,ak,ak0209s9rvmu,2020-08-04T05:09:38.101Z,"62 km SSW of Shungnak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-31T00:37:08.065Z,-9.1872,115.174,66.79,4.2,mb,,103,1.235,0.64,us,us6000b78f,2020-07-31T03:01:40.874Z,"43 km S of Nusa Dua, Indonesia",earthquake,6.8,15.2,0.215,6,reviewed,us,us
2020-07-30T22:44:36.551Z,53.767,-163.2467,10,3.5,mb,,202,1.111,0.75,us,us6000b76w,2020-08-04T05:09:29.945Z,"121 km S of False Pass, Alaska",earthquake,4.4,2,0.09,30,reviewed,us,us
2020-07-30T20:47:35.433Z,38.1613,-117.954,7.6,2.6,ml,24,78.03,0.023,0.1309,nn,nn00764529,2020-07-31T02:22:01.124Z,"28 km SSE of Mina, Nevada",earthquake,,0.7,0.53,12,reviewed,nn,nn
2020-07-30T20:19:12.890Z,17.9381,-66.9083,14,2.77,md,21,205,0.0471,0.13,pr,pr2020212003,2020-08-03T21:27:10.318Z,"3 km S of Guánica, Puerto Rico",earthquake,0.5,0.38,0.26,10,reviewed,pr,pr
2020-07-30T20:04:04.082Z,-7.1272,129.868,99.63,4.5,mb,,73,1.653,0.76,us,us6000b73g,2020-07-30T20:47:19.040Z,"Kepulauan Babar, Indonesia",earthquake,6.4,7.3,0.084,42,reviewed,us,us
2020-07-30T19:16:50.024Z,-19.0322,-173.4935,10,5.7,mww,,46,3.373,0.96,us,us6000b72l,2020-07-31T19:18:47.427Z,"66 km SE of Neiafu, Tonga",earthquake,8.8,1.7,0.08,15,reviewed,us,us
2020-07-30T18:38:38.952Z,30.4083,94.8065,10,4.8,mb,,93,3.266,0.51,us,us6000b71z,2020-07-30T19:13:45.040Z,"240 km WSW of Qamdo, China",earthquake,8.8,1.9,0.047,139,reviewed,us,us
2020-07-30T16:38:06.388Z,-24.3665,-67.1711,180.14,4.4,mb,,71,1.684,0.98,us,us6000b6zi,2020-07-30T17:35:35.040Z,"88 km W of San Antonio de los Cobres, Argentina",earthquake,9.1,8.6,0.09,38,reviewed,us,us
2020-07-30T16:08:16.467Z,54.845,-158.1992,1.8,5,ml,,,,0.84,ak,ak0209qvi9kl,2020-08-05T06:01:01.448Z,"132 km SSE of Perryville, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-30T15:36:31.038Z,51.5927,16.1067,10,4.1,mb,,60,1.963,1.02,us,us6000b6xx,2020-07-30T18:09:55.040Z,"4 km W of Grębocice, Poland",earthquake,3.9,1.9,0.114,21,reviewed,us,us
2020-07-30T15:04:11.429Z,36.2131,-106.762,9.62,3.7,mb,,31,1.288,0.76,us,us6000b6wi,2020-08-03T14:33:25.756Z,"4 km ESE of Capulin, New Mexico",earthquake,3.3,5.8,0.356,3,reviewed,us,us
2020-07-30T13:59:16.660Z,34.3058333,-118.4375,8.98,2.57,ml,97,24,0.04185,0.2,ci,ci39322839,2020-07-31T20:57:12.977Z,"1km ESE of Sylmar, CA",earthquake,0.12,0.37,0.153,106,reviewed,ci,ci
